#{"t_start": 1775187436.8245802, "env_id": "OpenTheChests-v2"}
r,l,t
-56.0,196,157.713546
-25.0,105,157.846918
-11.0,101,157.969278
-52.0,163,158.149238
-18.0,66,158.222551
-10.0,52,158.28038
-89.0,341,158.653457
-13.0,69,158.730194
-29.0,131,158.874788
-36.0,129,159.017414
-12.0,68,159.09334
-98.0,392,159.527386
-22.0,99,159.637946
-64.0,292,159.961253
-4.0,66,166.596729
-20.0,101,166.708229
-35.0,166,166.891161
-98.0,450,167.388854
-31.0,148,167.55376
-24.0,100,167.665449
-49.0,166,167.849978
-53.0,309,168.192406
-9.0,83,168.285326
-38.0,163,168.466678
-39.0,179,168.666008
-6.0,72,168.746859
-65.0,435,175.323066
-41.0,335,175.695002
-47.0,311,176.040657
-21.0,115,176.169052
-80.0,532,176.758727
-56.0,500,180.888705
-28.0,276,181.195587
-63.0,541,181.792544
-35.0,354,182.181593
-53.0,549,182.78408
-49.0,520,186.906117
-24.0,321,187.261396
-59.0,517,187.832545
-27.0,309,188.175885
-50.0,516,188.746802
-37.0,517,192.894058
-32.0,483,193.428877
-40.0,517,193.999141
-34.0,532,194.583958
-91.0,512,198.501688
-112.0,517,199.0712
-27.0,131,199.217816
-110.0,522,199.795875
-94.0,517,203.597773
-73.0,517,204.172796
-24.0,85,204.268691
-72.0,514,204.839238
-89.0,523,205.418604
-85.0,521,209.437309
-98.0,535,210.025279
-76.0,515,210.592024
-80.0,515,211.162589
-98.0,518,214.839718
-69.0,521,215.417157
-73.0,516,215.995212
-69.0,534,216.587278
-68.0,513,220.388655
-65.0,516,220.961193
-61.0,519,221.53491
-44.0,516,222.103543
-62.0,514,225.880124
-38.0,518,226.449135
-39.0,522,227.027121
-39.0,516,227.60029
-45.0,538,231.307809
-30.0,525,231.891453
-34.0,517,232.465635
-32.0,516,233.038263
-32.0,514,236.781443
-31.0,519,237.356383
-34.0,514,237.924802
-34.0,520,238.499891
-30.0,515,242.284115
-32.0,535,242.876967
-32.0,524,243.459744
-30.0,527,244.046198
-30.0,515,247.796849
-30.0,529,248.384156
-30.0,516,248.957138
-34.0,515,249.524479
-34.0,518,253.258425
-32.0,518,253.829982
-32.0,516,254.39815
-32.0,515,254.970387
-32.0,515,258.707783
-31.0,518,259.282599
-30.0,514,259.852542
-30.0,514,260.422828
-30.0,515,264.122487
-31.0,512,264.691183
-30.0,517,265.262084
-30.0,536,265.853251
-30.0,514,269.584965
-30.0,524,270.162447
-30.0,517,270.735097
-30.0,519,274.202145
-30.0,523,274.783745
-32.0,513,275.361398
-31.0,530,275.952047
-30.0,517,279.65397
-36.0,514,280.225268
-36.0,513,280.793984
-38.0,514,281.363382
-36.0,513,285.11639
-32.0,517,285.687519
-22.0,355,286.079206
-34.0,516,286.650236
-36.0,516,287.224098
-32.0,519,291.406789
-30.0,532,291.998216
-30.0,535,292.590436
-32.0,537,293.182332
-32.0,515,296.903191
-30.0,514,297.468743
-31.0,514,298.035412
-30.0,514,298.606145
-30.0,516,302.172354
-30.0,517,302.746111
-30.0,515,303.318362
-30.0,516,306.786007
-30.0,514,307.356232
-30.0,515,307.928386
-30.0,518,308.50213
-30.0,514,312.146617
-30.0,514,312.713202
-30.0,515,313.280254
-35.0,519,313.854429
-32.0,517,317.485958
-30.0,527,318.069444
-30.0,521,318.646883
-30.0,518,319.220749
-30.0,513,322.896281
-30.0,513,323.465956
-30.0,517,324.041072
-30.0,537,324.633591
-36.0,529,328.345572
-30.0,517,328.916438
-30.0,517,329.487206
-30.0,535,330.082767
-30.0,514,333.755079
-34.0,515,334.326156
-30.0,512,334.895149
-30.0,514,335.465682
-32.0,516,339.202082
-62.0,516,339.775566
-66.0,520,340.34919
-84.0,520,340.923199
-62.0,513,344.695566
-63.0,519,345.268888
-48.0,517,345.847998
-58.0,513,346.441729
-62.0,515,350.260646
-46.0,516,350.832922
-42.0,512,351.400962
-45.0,515,351.971934
-46.0,516,355.748299
-30.0,515,356.317377
-30.0,516,356.886739
-34.0,516,357.456038
-30.0,514,361.13439
-32.0,517,361.707299
-34.0,515,362.279603
-36.0,517,362.855125
-36.0,515,366.598477
-32.0,514,367.169089
-30.0,514,367.739696
-30.0,517,368.309713
-32.0,517,372.025441
-32.0,535,372.614484
-32.0,516,373.183347
-30.0,516,373.754724
-30.0,513,377.422103
-30.0,514,377.992665
-32.0,518,378.566708
-36.0,518,379.14159
-36.0,514,382.906897
-31.0,519,383.483598
-30.0,516,384.05576
-30.0,533,384.644006
-30.0,515,388.348176
-30.0,522,388.924557
-30.0,514,389.495522
-32.0,519,390.073233
-30.0,516,393.746821
-30.0,522,394.327454
-30.0,517,394.90135
-30.0,512,395.471736
-30.0,513,399.427632
-34.0,518,399.998158
-30.0,519,400.569169
-34.0,514,401.135199
-36.0,518,404.863558
-30.0,519,405.463155
-30.0,516,406.047551
-30.0,520,406.626784
-30.0,533,410.264647
-46.0,518,410.839375
-56.0,518,411.41386
-49.0,515,411.983464
-50.0,514,415.801969
-56.0,515,416.369616
-50.0,514,416.936203
-54.0,514,417.501257
-46.0,515,421.245326
-58.0,514,421.815699
-56.0,515,422.388966
-55.0,514,422.959275
-55.0,517,426.686247
-41.0,516,427.259795
-38.0,516,427.832293
-55.0,518,428.406613
-48.0,516,432.105732
-34.0,516,432.675684
